counter	pd	associated_permutation	knot_type
3099	(1,6,6,7,6,7,6,2,4)	(1,2,8,5,3,9,7,4,6)	p3.1
3100	(1,6,6,8,2,3,7,5,7)	(1,2,8,5,4,6,9,7,3)	m3.1
3101	(1,6,6,8,2,6,6,7,3)	(1,2,8,5,4,6,3,9,7)	a0.1
3102	(1,6,6,8,3,2,6,6,7)	(1,2,8,5,4,7,9,6,3)	a0.1
3103	(1,6,6,8,3,5,6,6,4)	(1,2,8,5,4,7,3,9,6)	a0.1
3104	(1,6,6,8,3,8,3,3,7)	(1,2,8,5,4,7,6,9,3)	a0.1
3105	(1,6,6,8,5,3,4,8,4)	(1,2,8,5,4,9,3,7,6)	a0.1
3106	(1,6,6,8,5,6,6,4,3)	(1,2,8,5,4,9,6,3,7)	a0.1
3107	(1,6,6,8,5,7,5,3,4)	(1,2,8,5,4,9,7,3,6)	a0.1
3108	(1,6,6,8,8,3,3,7,3)	(1,2,8,5,4,3,6,9,7)	a0.1
3109	(1,6,6,8,8,4,2,6,4)	(1,2,8,5,4,3,7,9,6)	p3.1
3110	(1,6,7,1,6,8,6,5,5)	(1,2,8,6,7,4,3,9,5)	a0.1
3111	(1,6,7,1,7,4,4,8,7)	(1,2,8,6,7,5,9,4,3)	a0.1
3112	(1,6,7,1,7,7,6,4,6)	(1,2,8,6,7,5,3,9,4)	a0.1
3113	(1,6,7,1,7,8,5,3,7)	(1,2,8,6,7,5,4,9,3)	a0.1
3114	(1,6,7,3,3,4,7,8,6)	(1,2,8,6,9,3,7,5,4)	a0.1
3115	(1,6,7,3,4,3,7,7,7)	(1,2,8,6,9,4,7,5,3)	a4.1
3116	(1,6,7,3,4,8,4,7,5)	(1,2,8,6,9,4,3,7,5)	m3.1
3117	(1,6,7,3,5,2,6,8,7)	(1,2,8,6,9,5,7,4,3)	a0.1
3118	(1,6,7,3,5,7,4,6,6)	(1,2,8,6,9,5,3,7,4)	m5.1
3119	(1,6,7,3,5,8,3,5,7)	(1,2,8,6,9,5,4,7,3)	m3.1
3120	(1,6,7,3,5,8,8,4,3)	(1,2,8,6,9,5,4,3,7)	a0.1
3121	(1,6,7,3,7,5,2,8,6)	(1,2,8,6,9,7,3,5,4)	m3.1
3122	(1,6,7,3,7,6,1,7,7)	(1,2,8,6,9,7,4,5,3)	m3.1
3123	(1,6,7,3,7,6,8,2,5)	(1,2,8,6,9,7,4,3,5)	m3.1
3124	(1,6,7,6,2,4,7,6,6)	(1,2,8,6,3,5,9,7,4)	m5.2
3125	(1,6,7,6,2,8,5,7,3)	(1,2,8,6,3,5,4,9,7)	a0.1
3126	(1,6,7,6,4,2,5,8,6)	(1,2,8,6,3,7,9,5,4)	a0.1
3127	(1,6,7,6,4,6,5,5,5)	(1,2,8,6,3,7,4,9,5)	m5.1
3128	(1,6,7,6,4,7,4,4,6)	(1,2,8,6,3,7,5,9,4)	m5.2
3129	(1,6,7,6,6,4,3,7,5)	(1,2,8,6,3,9,4,7,5)	m3.1
3130	(1,6,7,6,6,5,2,6,6)	(1,2,8,6,3,9,5,7,4)	a0.1
3131	(1,6,7,6,6,5,8,3,3)	(1,2,8,6,3,9,5,4,7)	a0.1
3132	(1,6,7,7,1,7,6,7,3)	(1,2,8,6,4,5,3,9,7)	a0.1
3133	(1,6,7,7,3,2,5,7,7)	(1,2,8,6,4,7,9,5,3)	a4.1
3134	(1,6,7,7,3,5,6,5,5)	(1,2,8,6,4,7,3,9,5)	m3.1
3135	(1,6,7,7,3,7,4,3,7)	(1,2,8,6,4,7,5,9,3)	m3.1
3136	(1,6,7,7,5,3,4,7,5)	(1,2,8,6,4,9,3,7,5)	m3.1
3137	(1,6,7,7,5,5,2,5,7)	(1,2,8,6,4,9,5,7,3)	a4.1
3138	(1,6,7,7,5,5,7,4,3)	(1,2,8,6,4,9,5,3,7)	m3.1
3139	(1,6,7,7,5,7,5,2,5)	(1,2,8,6,4,9,7,3,5)	a4.1
3140	(1,6,7,7,8,2,4,7,3)	(1,2,8,6,4,3,5,9,7)	a0.1
3141	(1,6,7,7,8,4,2,5,5)	(1,2,8,6,4,3,7,9,5)	a0.1
3142	(1,6,7,7,8,6,5,2,3)	(1,2,8,6,4,3,9,5,7)	a0.1
3143	(1,6,7,8,2,2,4,8,7)	(1,2,8,6,5,7,9,4,3)	a0.1
3144	(1,6,7,8,2,5,6,4,6)	(1,2,8,6,5,7,3,9,4)	a0.1
3145	(1,6,7,8,2,6,5,3,7)	(1,2,8,6,5,7,4,9,3)	a0.1
3146	(1,6,7,8,4,3,4,6,6)	(1,2,8,6,5,9,3,7,4)	a0.1
3147	(1,6,7,8,4,4,3,5,7)	(1,2,8,6,5,9,4,7,3)	a0.1
3148	(1,6,7,8,4,4,8,4,3)	(1,2,8,6,5,9,4,3,7)	a0.1
3149	(1,6,7,8,7,4,2,4,6)	(1,2,8,6,5,3,7,9,4)	p3.1
3150	(1,6,7,8,7,6,4,3,3)	(1,2,8,6,5,3,9,4,7)	a0.1
3151	(1,6,7,8,8,3,2,3,7)	(1,2,8,6,5,4,7,9,3)	a0.1
3152	(1,6,7,8,8,5,3,4,3)	(1,2,8,6,5,4,9,3,7)	a0.1
3153	(1,6,8,2,3,3,8,8,6)	(1,2,8,7,9,3,6,5,4)	a0.1
3154	(1,6,8,2,4,2,8,7,7)	(1,2,8,7,9,4,6,5,3)	a0.1
3155	(1,6,8,2,4,8,3,8,5)	(1,2,8,7,9,4,3,6,5)	a0.1
3156	(1,6,8,2,5,1,7,8,7)	(1,2,8,7,9,5,6,4,3)	a0.1
3157	(1,6,8,2,5,7,3,7,6)	(1,2,8,7,9,5,3,6,4)	m3.1
3158	(1,6,8,2,5,8,2,6,7)	(1,2,8,7,9,5,4,6,3)	a0.1
3159	(1,6,8,2,5,8,8,3,4)	(1,2,8,7,9,5,4,3,6)	a0.1
3160	(1,6,8,2,6,6,2,8,6)	(1,2,8,7,9,6,3,5,4)	a0.1
3161	(1,6,8,2,6,7,1,7,7)	(1,2,8,7,9,6,4,5,3)	a0.1
3162	(1,6,8,2,6,7,8,2,5)	(1,2,8,7,9,6,4,3,5)	a0.1
3163	(1,6,8,5,2,4,6,7,6)	(1,2,8,7,3,5,9,6,4)	a0.1
3164	(1,6,8,5,2,8,5,6,4)	(1,2,8,7,3,5,4,9,6)	a0.1
3165	(1,6,8,5,3,3,5,8,6)	(1,2,8,7,3,6,9,5,4)	a0.1
3166	(1,6,8,5,3,7,5,5,5)	(1,2,8,7,3,6,4,9,5)	m3.1
3167	(1,6,8,5,3,8,4,4,6)	(1,2,8,7,3,6,5,9,4)	a0.1
3168	(1,6,8,5,6,4,2,8,5)	(1,2,8,7,3,9,4,6,5)	a0.1
3169	(1,6,8,5,6,5,1,7,6)	(1,2,8,7,3,9,5,6,4)	a0.1
3170	(1,6,8,5,6,5,8,2,4)	(1,2,8,7,3,9,5,4,6)	a0.1
3171	(1,6,8,6,1,7,6,6,4)	(1,2,8,7,4,5,3,9,6)	a0.1
3172	(1,6,8,6,2,3,5,7,7)	(1,2,8,7,4,6,9,5,3)	a0.1
3173	(1,6,8,6,2,6,6,5,5)	(1,2,8,7,4,6,3,9,5)	a0.1
3174	(1,6,8,6,2,8,4,3,7)	(1,2,8,7,4,6,5,9,3)	a0.1
3175	(1,6,8,6,5,3,3,8,5)	(1,2,8,7,4,9,3,6,5)	a0.1
3176	(1,6,8,6,5,5,7,3,4)	(1,2,8,7,4,9,5,3,6)	m3.1
3177	(1,6,8,6,5,6,6,2,5)	(1,2,8,7,4,9,6,3,5)	a0.1
3178	(1,6,8,6,8,2,4,6,4)	(1,2,8,7,4,3,5,9,6)	a0.1
3179	(1,6,8,6,8,3,3,5,5)	(1,2,8,7,4,3,6,9,5)	a0.1
3180	(1,6,8,7,1,7,5,3,7)	(1,2,8,7,5,6,4,9,3)	a0.1
3181	(1,6,8,7,4,3,3,7,6)	(1,2,8,7,5,9,3,6,4)	a0.1
3182	(1,6,8,7,4,4,2,6,7)	(1,2,8,7,5,9,4,6,3)	p3.1
3183	(1,6,8,7,4,4,8,3,4)	(1,2,8,7,5,9,4,3,6)	a0.1
3184	(1,6,8,7,7,3,3,4,6)	(1,2,8,7,5,3,6,9,4)	a0.1
3185	(1,6,8,7,7,6,4,2,4)	(1,2,8,7,5,3,9,4,6)	a0.1
3186	(1,6,8,7,8,2,3,3,7)	(1,2,8,7,5,4,6,9,3)	a0.1
3187	(1,6,8,7,8,5,3,3,4)	(1,2,8,7,5,4,9,3,6)	a0.1
3188	(1,6,8,8,3,3,2,8,6)	(1,2,8,7,6,9,3,5,4)	a0.1
3189	(1,6,8,8,3,4,1,7,7)	(1,2,8,7,6,9,4,5,3)	a0.1
3190	(1,6,8,8,3,4,8,2,5)	(1,2,8,7,6,9,4,3,5)	a0.1
3191	(1,6,8,8,6,2,4,4,6)	(1,2,8,7,6,3,5,9,4)	p3.1
3192	(1,6,8,8,7,5,3,2,5)	(1,2,8,7,6,4,9,3,5)	a0.1
3193	(1,7,3,2,3,8,8,7,6)	(1,2,9,3,5,8,7,6,4)	a0.1
3194	(1,7,3,2,8,4,8,8,4)	(1,2,9,3,5,4,8,7,6)	a0.1
3195	(1,7,3,3,2,8,7,8,6)	(1,2,9,3,6,8,7,5,4)	a0.1
3196	(1,7,3,3,7,4,8,7,5)	(1,2,9,3,6,4,8,7,5)	a0.1
3197	(1,7,3,3,8,3,8,6,6)	(1,2,9,3,6,5,8,7,4)	a0.1
3198	(1,7,3,3,8,8,4,8,3)	(1,2,9,3,6,5,4,8,7)	a0.1
3199	(1,7,3,4,1,7,8,8,6)	(1,2,9,3,7,8,6,5,4)	a0.1
3200	(1,7,3,4,6,4,7,8,5)	(1,2,9,3,7,4,8,6,5)	a0.1
3201	(1,7,3,4,7,3,7,7,6)	(1,2,9,3,7,5,8,6,4)	m3.1
3202	(1,7,3,4,7,8,4,7,4)	(1,2,9,3,7,5,4,8,6)	a0.1
3203	(1,7,3,4,8,2,6,8,6)	(1,2,9,3,7,6,8,5,4)	a0.1
3204	(1,7,3,4,8,7,4,6,5)	(1,2,9,3,7,6,4,8,5)	a0.1
3205	(1,7,3,4,8,8,3,5,6)	(1,2,9,3,7,6,5,8,4)	a0.1
3206	(1,7,3,4,8,8,8,4,2)	(1,2,9,3,7,6,5,4,8)	a0.1
3207	(1,7,3,5,5,3,8,8,5)	(1,2,9,3,8,4,7,6,5)	a0.1
3208	(1,7,3,5,6,2,8,7,6)	(1,2,9,3,8,5,7,6,4)	a0.1
3209	(1,7,3,5,6,8,3,8,4)	(1,2,9,3,8,5,4,7,6)	a0.1
3210	(1,7,3,5,7,1,7,8,6)	(1,2,9,3,8,6,7,5,4)	a0.1
3211	(1,7,3,5,7,7,3,7,5)	(1,2,9,3,8,6,4,7,5)	m3.1
3212	(1,7,3,5,7,8,2,6,6)	(1,2,9,3,8,6,5,7,4)	a0.1
3213	(1,7,3,5,7,8,8,3,3)	(1,2,9,3,8,6,5,4,7)	a0.1
3214	(1,7,3,5,8,6,2,8,5)	(1,2,9,3,8,7,4,6,5)	a0.1
3215	(1,7,3,5,8,7,1,7,6)	(1,2,9,3,8,7,5,6,4)	a0.1
3216	(1,7,3,5,8,7,8,2,4)	(1,2,9,3,8,7,5,4,6)	a0.1
3217	(1,7,4,1,7,5,8,8,4)	(1,2,9,4,5,3,8,7,6)	a0.1
3218	(1,7,4,2,2,8,7,7,7)	(1,2,9,4,6,8,7,5,3)	a0.1
3219	(1,7,4,2,6,5,8,7,5)	(1,2,9,4,6,3,8,7,5)	p3.1
3220	(1,7,4,2,8,3,8,5,7)	(1,2,9,4,6,5,8,7,3)	a0.1
3221	(1,7,4,2,8,7,5,8,3)	(1,2,9,4,6,5,3,8,7)	a0.1
3222	(1,7,4,3,1,7,8,7,7)	(1,2,9,4,7,8,6,5,3)	a0.1
3223	(1,7,4,3,5,5,7,8,5)	(1,2,9,4,7,3,8,6,5)	a0.1
3224	(1,7,4,3,7,3,7,6,7)	(1,2,9,4,7,5,8,6,3)	m3.1
3225	(1,7,4,3,7,7,5,7,4)	(1,2,9,4,7,5,3,8,6)	a4.1
3226	(1,7,4,3,8,2,6,7,7)	(1,2,9,4,7,6,8,5,3)	a0.1
3227	(1,7,4,3,8,6,5,6,5)	(1,2,9,4,7,6,3,8,5)	a0.1
3228	(1,7,4,3,8,8,3,4,7)	(1,2,9,4,7,6,5,8,3)	a0.1
3229	(1,7,4,3,8,8,7,5,2)	(1,2,9,4,7,6,5,3,8)	a0.1
3230	(1,7,4,4,4,4,8,8,5)	(1,2,9,4,8,3,7,6,5)	p3.1
3231	(1,7,4,4,6,2,8,6,7)	(1,2,9,4,8,5,7,6,3)	a0.1
3232	(1,7,4,4,6,7,4,8,4)	(1,2,9,4,8,5,3,7,6)	a0.1
3233	(1,7,4,4,7,1,7,7,7)	(1,2,9,4,8,6,7,5,3)	a0.1
3234	(1,7,4,4,7,6,4,7,5)	(1,2,9,4,8,6,3,7,5)	m5.2
3235	(1,7,4,4,7,8,2,5,7)	(1,2,9,4,8,6,5,7,3)	a0.1
3236	(1,7,4,4,7,8,7,4,3)	(1,2,9,4,8,6,5,3,7)	p3.1
3237	(1,7,4,4,8,5,3,8,5)	(1,2,9,4,8,7,3,6,5)	a0.1
3238	(1,7,4,4,8,7,7,3,4)	(1,2,9,4,8,7,5,3,6)	a0.1
3239	(1,7,4,4,8,8,6,2,5)	(1,2,9,4,8,7,6,3,5)	p3.1
3240	(1,7,4,8,2,3,8,8,4)	(1,2,9,4,3,5,8,7,6)	a0.1
3241	(1,7,4,8,3,2,8,7,5)	(1,2,9,4,3,6,8,7,5)	a0.1
3242	(1,7,4,8,3,8,3,8,3)	(1,2,9,4,3,6,5,8,7)	a0.1
3243	(1,7,4,8,4,1,7,8,5)	(1,2,9,4,3,7,8,6,5)	a0.1
3244	(1,7,4,8,4,7,3,7,4)	(1,2,9,4,3,7,5,8,6)	m3.1
3245	(1,7,4,8,4,8,2,6,5)	(1,2,9,4,3,7,6,8,5)	a0.1
3246	(1,7,4,8,4,8,8,3,2)	(1,2,9,4,3,7,6,5,8)	a0.1
3247	(1,7,4,8,5,6,2,8,4)	(1,2,9,4,3,8,5,7,6)	a0.1
3248	(1,7,4,8,5,7,1,7,5)	(1,2,9,4,3,8,6,7,5)	a0.1
3249	(1,7,4,8,5,7,8,2,3)	(1,2,9,4,3,8,6,5,7)	a0.1
3250	(1,7,5,1,7,8,5,8,3)	(1,2,9,5,6,4,3,8,7)	a0.1
3251	(1,7,5,2,1,7,7,8,7)	(1,2,9,5,7,8,6,4,3)	a0.1
3252	(1,7,5,2,5,5,7,7,6)	(1,2,9,5,7,3,8,6,4)	a4.1
3253	(1,7,5,2,6,4,7,6,7)	(1,2,9,5,7,4,8,6,3)	a0.1
3254	(1,7,5,2,6,8,5,7,4)	(1,2,9,5,7,4,3,8,6)	a0.1
3255	(1,7,5,2,8,2,5,8,7)	(1,2,9,5,7,6,8,4,3)	a0.1
3256	(1,7,5,2,8,6,5,5,6)	(1,2,9,5,7,6,3,8,4)	m3.1
3257	(1,7,5,2,8,7,4,4,7)	(1,2,9,5,7,6,4,8,3)	a0.1
3258	(1,7,5,2,8,7,8,5,2)	(1,2,9,5,7,6,4,3,8)	a0.1
3259	(1,7,5,3,4,4,8,7,6)	(1,2,9,5,8,3,7,6,4)	a0.1
3260	(1,7,5,3,5,3,8,6,7)	(1,2,9,5,8,4,7,6,3)	a0.1
3261	(1,7,5,3,5,8,4,8,4)	(1,2,9,5,8,4,3,7,6)	a0.1
3262	(1,7,5,3,7,6,4,6,6)	(1,2,9,5,8,6,3,7,4)	m5.1
3263	(1,7,5,3,7,7,3,5,7)	(1,2,9,5,8,6,4,7,3)	m3.1
3264	(1,7,5,3,7,7,8,4,3)	(1,2,9,5,8,6,4,3,7)	a0.1
3265	(1,7,5,3,8,5,3,7,6)	(1,2,9,5,8,7,3,6,4)	m3.1
3266	(1,7,5,3,8,6,2,6,7)	(1,2,9,5,8,7,4,6,3)	a0.1
3267	(1,7,5,3,8,6,8,3,4)	(1,2,9,5,8,7,4,3,6)	a0.1
3268	(1,7,5,7,3,2,8,6,6)	(1,2,9,5,3,6,8,7,4)	m3.1
3269	(1,7,5,7,3,7,4,8,3)	(1,2,9,5,3,6,4,8,7)	m3.1
3270	(1,7,5,7,4,1,7,7,6)	(1,2,9,5,3,7,8,6,4)	m3.1
3271	(1,7,5,7,4,6,4,7,4)	(1,2,9,5,3,7,4,8,6)	m5.1
3272	(1,7,5,7,4,8,2,5,6)	(1,2,9,5,3,7,6,8,4)	m3.1
3273	(1,7,5,7,4,8,7,4,2)	(1,2,9,5,3,7,6,4,8)	a0.1
3274	(1,7,5,7,5,5,3,8,4)	(1,2,9,5,3,8,4,7,6)	m3.1
3275	(1,7,5,7,5,7,7,3,3)	(1,2,9,5,3,8,6,4,7)	a4.1
3276	(1,7,5,7,5,8,6,2,4)	(1,2,9,5,3,8,7,4,6)	a0.1
3277	(1,7,5,8,2,2,8,5,7)	(1,2,9,5,4,6,8,7,3)	a0.1
3278	(1,7,5,8,2,6,5,8,3)	(1,2,9,5,4,6,3,8,7)	a0.1
3279	(1,7,5,8,3,1,7,6,7)	(1,2,9,5,4,7,8,6,3)	a0.1
3280	(1,7,5,8,3,5,5,7,4)	(1,2,9,5,4,7,3,8,6)	m3.1
3281	(1,7,5,8,3,8,2,4,7)	(1,2,9,5,4,7,6,8,3)	a0.1
3282	(1,7,5,8,3,8,6,5,2)	(1,2,9,5,4,7,6,3,8)	a0.1
3283	(1,7,5,8,4,4,4,8,4)	(1,2,9,5,4,8,3,7,6)	a0.1
3284	(1,7,5,8,4,7,6,4,3)	(1,2,9,5,4,8,6,3,7)	a0.1
3285	(1,7,5,8,4,8,5,3,4)	(1,2,9,5,4,8,7,3,6)	a0.1
3286	(1,7,5,8,8,3,2,8,3)	(1,2,9,5,4,3,6,8,7)	a0.1
3287	(1,7,5,8,8,4,8,2,2)	(1,2,9,5,4,3,7,6,8)	a0.1
3288	(1,7,6,1,7,7,5,5,6)	(1,2,9,6,7,5,3,8,4)	m3.1
3289	(1,7,6,1,7,8,4,4,7)	(1,2,9,6,7,5,4,8,3)	a0.1
3290	(1,7,6,1,7,8,8,5,2)	(1,2,9,6,7,5,4,3,8)	a0.1
3291	(1,7,6,2,4,4,7,8,6)	(1,2,9,6,8,3,7,5,4)	p3.1
3292	(1,7,6,2,5,3,7,7,7)	(1,2,9,6,8,4,7,5,3)	a0.1
3293	(1,7,6,2,5,8,4,7,5)	(1,2,9,6,8,4,3,7,5)	a0.1
3294	(1,7,6,2,6,2,6,8,7)	(1,2,9,6,8,5,7,4,3)	p3.1
3295	(1,7,6,2,6,7,4,6,6)	(1,2,9,6,8,5,3,7,4)	m5.2
3296	(1,7,6,2,6,8,3,5,7)	(1,2,9,6,8,5,4,7,3)	a0.1
3297	(1,7,6,2,6,8,8,4,3)	(1,2,9,6,8,5,4,3,7)	p3.1
3298	(1,7,6,2,8,5,2,8,6)	(1,2,9,6,8,7,3,5,4)	a0.1
3299	(1,7,6,2,8,6,1,7,7)	(1,2,9,6,8,7,4,5,3)	a0.1
3300	(1,7,6,2,8,6,8,2,5)	(1,2,9,6,8,7,4,3,5)	a0.1
3301	(1,7,6,6,2,3,8,6,6)	(1,2,9,6,3,5,8,7,4)	a0.1
3302	(1,7,6,6,2,8,4,8,3)	(1,2,9,6,3,5,4,8,7)	a0.1
3303	(1,7,6,6,4,6,4,6,5)	(1,2,9,6,3,7,4,8,5)	m8.19
3304	(1,7,6,6,4,7,3,5,6)	(1,2,9,6,3,7,5,8,4)	m5.1
3305	(1,7,6,6,4,7,8,4,2)	(1,2,9,6,3,7,5,4,8)	a0.1
3306	(1,7,6,6,5,5,3,7,5)	(1,2,9,6,3,8,4,7,5)	m5.1
3307	(1,7,6,6,5,6,2,6,6)	(1,2,9,6,3,8,5,7,4)	m5.2
3308	(1,7,6,6,5,6,8,3,3)	(1,2,9,6,3,8,5,4,7)	a0.1
3309	(1,7,6,7,3,5,5,6,5)	(1,2,9,6,4,7,3,8,5)	m5.1
3310	(1,7,6,7,3,7,3,4,7)	(1,2,9,6,4,7,5,8,3)	m3.1
3311	(1,7,6,7,3,7,7,5,2)	(1,2,9,6,4,7,5,3,8)	m3.1
3312	(1,7,6,7,4,4,4,7,5)	(1,2,9,6,4,8,3,7,5)	m5.2
3313	(1,7,6,7,4,6,2,5,7)	(1,2,9,6,4,8,5,7,3)	a0.1
3314	(1,7,6,7,4,6,7,4,3)	(1,2,9,6,4,8,5,3,7)	m5.2
3315	(1,7,6,7,4,8,5,2,5)	(1,2,9,6,4,8,7,3,5)	a0.1
3316	(1,7,6,7,8,2,3,8,3)	(1,2,9,6,4,3,5,8,7)	a0.1
3317	(1,7,6,7,8,4,7,3,2)	(1,2,9,6,4,3,7,5,8)	a0.1
3318	(1,7,6,7,8,5,6,2,3)	(1,2,9,6,4,3,8,5,7)	p3.1
3319	(1,7,6,8,2,5,5,5,6)	(1,2,9,6,5,7,3,8,4)	m3.1
3320	(1,7,6,8,2,6,4,4,7)	(1,2,9,6,5,7,4,8,3)	a0.1
3321	(1,7,6,8,2,6,8,5,2)	(1,2,9,6,5,7,4,3,8)	a0.1
3322	(1,7,6,8,3,4,4,6,6)	(1,2,9,6,5,8,3,7,4)	a0.1
3323	(1,7,6,8,3,5,3,5,7)	(1,2,9,6,5,8,4,7,3)	a0.1
3324	(1,7,6,8,3,5,8,4,3)	(1,2,9,6,5,8,4,3,7)	a0.1
3325	(1,7,6,8,7,4,6,4,2)	(1,2,9,6,5,3,7,4,8)	a0.1
3326	(1,7,6,8,7,5,5,3,3)	(1,2,9,6,5,3,8,4,7)	a0.1
3327	(1,7,6,8,8,3,5,5,2)	(1,2,9,6,5,4,7,3,8)	a0.1
3328	(1,7,6,8,8,4,4,4,3)	(1,2,9,6,5,4,8,3,7)	p3.1
3329	(1,7,7,1,7,7,1,7,7)	(1,2,9,7,8,6,4,5,3)	a0.1
3330	(1,7,7,1,7,7,8,2,5)	(1,2,9,7,8,6,4,3,5)	a0.1
3331	(1,7,7,5,2,3,7,7,6)	(1,2,9,7,3,5,8,6,4)	a4.1
3332	(1,7,7,5,2,8,4,7,4)	(1,2,9,7,3,5,4,8,6)	m3.1
3333	(1,7,7,5,3,2,6,8,6)	(1,2,9,7,3,6,8,5,4)	a0.1
3334	(1,7,7,5,3,7,4,6,5)	(1,2,9,7,3,6,4,8,5)	m5.1
3335	(1,7,7,5,3,8,3,5,6)	(1,2,9,7,3,6,5,8,4)	m3.1
3336	(1,7,7,5,3,8,8,4,2)	(1,2,9,7,3,6,5,4,8)	a0.1
3337	(1,7,7,5,5,5,2,8,5)	(1,2,9,7,3,8,4,6,5)	m3.1
3338	(1,7,7,5,5,6,8,2,4)	(1,2,9,7,3,8,5,4,6)	m3.1
3339	(1,7,7,6,2,2,6,7,7)	(1,2,9,7,4,6,8,5,3)	p3.1
3340	(1,7,7,6,2,6,5,6,5)	(1,2,9,7,4,6,3,8,5)	m5.2
3341	(1,7,7,6,2,8,3,4,7)	(1,2,9,7,4,6,5,8,3)	a0.1
3342	(1,7,7,6,2,8,7,5,2)	(1,2,9,7,4,6,5,3,8)	a0.1
3343	(1,7,7,6,4,4,3,8,5)	(1,2,9,7,4,8,3,6,5)	a0.1
3344	(1,7,7,6,4,6,7,3,4)	(1,2,9,7,4,8,5,3,6)	m5.1
3345	(1,7,7,6,4,7,6,2,5)	(1,2,9,7,4,8,6,3,5)	m5.2
3346	(1,7,7,6,8,2,3,7,4)	(1,2,9,7,4,3,5,8,6)	m3.1
3347	(1,7,7,6,8,3,2,6,5)	(1,2,9,7,4,3,6,8,5)	a0.1
3348	(1,7,7,6,8,3,8,3,2)	(1,2,9,7,4,3,6,5,8)	a0.1
3349	(1,7,7,7,1,7,8,5,2)	(1,2,9,7,5,6,4,3,8)	a0.1
3350	(1,7,7,7,3,4,3,7,6)	(1,2,9,7,5,8,3,6,4)	a4.1
3351	(1,7,7,7,3,5,2,6,7)	(1,2,9,7,5,8,4,6,3)	a0.1
3352	(1,7,7,7,3,5,8,3,4)	(1,2,9,7,5,8,4,3,6)	m3.1
3353	(1,7,7,7,7,3,2,5,6)	(1,2,9,7,5,3,6,8,4)	a4.1
3354	(1,7,7,7,7,3,7,4,2)	(1,2,9,7,5,3,6,4,8)	m3.1
3355	(1,7,7,7,7,5,5,2,4)	(1,2,9,7,5,3,8,4,6)	a4.1
3356	(1,7,7,7,8,2,2,4,7)	(1,2,9,7,5,4,6,8,3)	a0.1
3357	(1,7,7,7,8,2,6,5,2)	(1,2,9,7,5,4,6,3,8)	a0.1
3358	(1,7,7,7,8,4,4,3,4)	(1,2,9,7,5,4,8,3,6)	a0.1
3359	(1,7,7,7,8,8,3,2,2)	(1,2,9,7,5,4,3,6,8)	a0.1
3360	(1,7,7,8,2,4,2,8,6)	(1,2,9,7,6,8,3,5,4)	a0.1
3361	(1,7,7,8,2,5,8,2,5)	(1,2,9,7,6,8,4,3,5)	a0.1
3362	(1,7,7,8,6,2,3,5,6)	(1,2,9,7,6,3,5,8,4)	a0.1
3363	(1,7,7,8,6,2,8,4,2)	(1,2,9,7,6,3,5,4,8)	a0.1
3364	(1,7,7,8,7,4,4,2,5)	(1,2,9,7,6,4,8,3,5)	p3.1
3365	(1,7,7,8,7,8,2,3,2)	(1,2,9,7,6,4,3,5,8)	a0.1
3366	(1,7,8,4,2,2,8,7,6)	(1,2,9,8,3,5,7,6,4)	a0.1
3367	(1,7,8,4,2,8,3,8,4)	(1,2,9,8,3,5,4,7,6)	a0.1
3368	(1,7,8,4,3,1,7,8,6)	(1,2,9,8,3,6,7,5,4)	a0.1
3369	(1,7,8,4,3,7,3,7,5)	(1,2,9,8,3,6,4,7,5)	m3.1
3370	(1,7,8,4,3,8,2,6,6)	(1,2,9,8,3,6,5,7,4)	a0.1
3371	(1,7,8,4,3,8,8,3,3)	(1,2,9,8,3,6,5,4,7)	a0.1
3372	(1,7,8,4,4,6,2,8,5)	(1,2,9,8,3,7,4,6,5)	a0.1
3373	(1,7,8,4,4,7,8,2,4)	(1,2,9,8,3,7,5,4,6)	a0.1
3374	(1,7,8,5,2,6,4,7,5)	(1,2,9,8,4,6,3,7,5)	a0.1
3375	(1,7,8,5,2,8,2,5,7)	(1,2,9,8,4,6,5,7,3)	a0.1
3376	(1,7,8,5,2,8,7,4,3)	(1,2,9,8,4,6,5,3,7)	a0.1
3377	(1,7,8,5,3,5,3,8,5)	(1,2,9,8,4,7,3,6,5)	a0.1
3378	(1,7,8,5,3,7,7,3,4)	(1,2,9,8,4,7,5,3,6)	m3.1
3379	(1,7,8,5,3,8,6,2,5)	(1,2,9,8,4,7,6,3,5)	a0.1
3380	(1,7,8,5,8,2,2,8,4)	(1,2,9,8,4,3,5,7,6)	a0.1
3381	(1,7,8,5,8,3,8,2,3)	(1,2,9,8,4,3,6,5,7)	a0.1
3382	(1,7,8,6,2,5,3,7,6)	(1,2,9,8,5,7,3,6,4)	a0.1
3383	(1,7,8,6,2,6,2,6,7)	(1,2,9,8,5,7,4,6,3)	p3.1
3384	(1,7,8,6,2,6,8,3,4)	(1,2,9,8,5,7,4,3,6)	a0.1
3385	(1,7,8,6,7,3,7,3,3)	(1,2,9,8,5,3,6,4,7)	m3.1
3386	(1,7,8,6,7,4,6,2,4)	(1,2,9,8,5,3,7,4,6)	a0.1
3387	(1,7,8,6,8,2,6,4,3)	(1,2,9,8,5,4,6,3,7)	a0.1
3388	(1,7,8,6,8,3,5,3,4)	(1,2,9,8,5,4,7,3,6)	a0.1
3389	(1,7,8,7,6,2,2,6,6)	(1,2,9,8,6,3,5,7,4)	p3.1
